Wed Aug 30 23:36:19 +0000 2017,-122.053,37.411,#DanceMusic #DanceRadio #DanceDJs #DeltiimoMusic  #CrossoverRadio  #CrossoverMusic #AmbaTremain  #DevinJade We h... https://t.co/35tFDP2N78
Wed Aug 30 23:38:52 +0000 2017,-122.4194155,37.7749295,If you're looking for work in #SanFrancisco, CA, check out this #job: https://t.co/aUoRLPf6Xv #KellyJobs #KellyServices #Manufacturing
Wed Aug 30 23:38:58 +0000 2017,-121.98627,37.54961,Sophia Mango Mac. Join us for happy hour from 5 pm to 7 pm, Dinner hours 5 pm to 9:30, last call… https://t.co/E7aQ0q6Rtf
Wed Aug 30 23:39:01 +0000 2017,-121.77298,36.86452,Breakfast is Served 👌🏻 our classic breakfast burritos - Big Sur &amp; Baja! A freezer staple 😉… https://t.co/fTehTnVncP
Wed Aug 30 23:39:02 +0000 2017,-122.38657987,37.61746596,I'm at San Francisco International Airport - @flysfo in San Francisco, CA https://t.co/GhUzw8TzoC
Wed Aug 30 23:39:06 +0000 2017,-122.2316749,37.4822993,Can you recommend anyone for this #job? RED Cashier - Part Time - https://t.co/nlqR21Rmb3 #Retail #RedwoodCity, CA #Hiring #CareerArc
Wed Aug 30 23:39:10 +0000 2017,-122.38657987,37.61746596,Hello SF (@ Aeropuerto Internacional de San Francisco - @flysfo in San Francisco, CA) https://t.co/9fjwBiEhcx
Wed Aug 30 23:39:23 +0000 2017,-121.8863286,37.3382082,Can you recommend anyone for this #job in #SanJose, CA? https://t.co/XQMD9yjBwt #homehealth #nurse #RN #Nursing #Hiring
Wed Aug 30 23:39:24 +0000 2017,-122.4702079,37.6879241,Want to work in #DalyCity, CA? View our latest opening: https://t.co/d5BtjIk7zI #Transportation #Job #Jobs #Hiring #CareerArc
Wed Aug 30 23:39:35 +0000 2017,-122.2682245,37.8113159,Can you recommend anyone for this #job? Dispatcher - https://t.co/mjc6yMdrXt #Sales #Oakland, CA #Hiring #CareerArc
Wed Aug 30 23:39:35 +0000 2017,-122.0780632,37.7188649,Want to work in #CastroValley, CA? View our latest opening: https://t.co/utbGnd0Qm9 #Accounting #Job #Jobs #Hiring #CareerArc
Wed Aug 30 23:39:35 +0000 2017,-121.76907,36.23568,California dreamin' @ Pacific Coast Highway 1 https://t.co/1z78abN3aE
Wed Aug 30 23:40:02 +0000 2017,-116.4501648,33.5058327,USGS reports a M1.14 #earthquake 21km SW of La Quinta, California on 8/30/17 @ 23:36:57 UTC https://t.co/9VsKrwVzfI #quake
Wed Aug 30 23:40:02 +0000 2017,-116.4501648,33.5058327,USGS reports a M1.14 #earthquake 21km SW of La Quinta, California on 8/30/17 @ 23:36:57 UTC https://t.co/eK4NQ0USPh #quake
Wed Aug 30 23:40:22 +0000 2017,-121.9552356,37.3541079,We're #hiring! Read about our latest #job opening here: Registered Nurse (RN) Admissions/Visiting-Hospice - https://t.co/VzyBZZB7Ff
Wed Aug 30 23:40:30 +0000 2017,-121.78606358,36.25335131,I'm at Big Sur Lodge in Big Sur, CA w/ @spflugler https://t.co/zb3zNupkOr
Wed Aug 30 23:40:34 +0000 2017,-122.28921874,37.78378378,Trump in a box, my fav band name @SteeleAndUngar
Wed Aug 30 23:40:35 +0000 2017,-122.2711137,37.8043637,See our latest #Oakland, CA #job and click to apply: barista - Store# 05751, FRUITVALE &amp; I-880 - https://t.co/j2jcDykji3 #CustomerService
Wed Aug 30 23:40:35 +0000 2017,-121.8863286,37.3382082,Want to work at TPX? We're #hiring in #SanJose, CA! Click for details: https://t.co/8ThKlwXdNW #Business #consultant #Job #Jobs #CareerArc
Wed Aug 30 23:40:37 +0000 2017,-122.2416355,37.7652065,See our latest #Alameda, CA #job and click to apply: In Store Branch Manager NMLS 1, 2, Senior - Alameda... - https://t.co/PuFjeCOvK2
Wed Aug 30 23:40:41 +0000 2017,-118.2548151,34.1446625,just trying to channel my inner daenery's with my braids and trying to be queen of the the iron… https://t.co/Cr5EO8n3Ug
Wed Aug 30 23:40:49 +0000 2017,-121.764,37.6855,Mid day moment with Lucky Lanie inspired by @kirakosarin (made by @ luckylanie with… https://t.co/1f3oQsHjKC
Wed Aug 30 23:40:58 +0000 2017,-122.2132847,37.7795451,We're #hiring! Click to apply: School Enrichment Recess Coach: Global Family Elementary (0.5 FTE) (2017-18) - https://t.co/UlRiGZ92jP
Wed Aug 30 23:40:59 +0000 2017,-122.45092865,37.77031738,I'm at Park Branch Library - @sfpubliclibrary in San Francisco, CA https://t.co/DSbmzbyN2z
Wed Aug 30 23:41:02 +0000 2017,-121.877986,37.26328,Want to work in #SanJose, CA? View our latest opening: #hiring #career https://t.co/js5QvLrfgW
Wed Aug 30 23:41:08 +0000 2017,-121.7832756,36.25306398,I'm at Pfeiffer Big Sur State Park in Big Sur, CA w/ @spflugler https://t.co/qn5begTXB5
Wed Aug 30 23:41:14 +0000 2017,-121.8016967,37.2536661,Join the Lowe's Stores team! See our latest #job opening here: https://t.co/duVsj9fgaU #CustomerService #SanJose, CA #Hiring #CareerArc
